#Saved Data from the class wavemeter_logger_logic on 09.11.2022 at 10h13m06s.
#
#Parameters:
#===========
#
#Start Time (s): 09.11.2022 10h:10min:09s
#Stop Time (s): 09.11.2022 10h:13min:06s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
3.253153467178e+01	1.950000000000e+03	7.369896427395e+02
3.255196952820e+01	2.000000000000e+03	7.369896530500e+02
3.257226848602e+01	1.900000000000e+03	7.369896610565e+02
3.259221744537e+01	1.500000000000e+03	7.369896673398e+02
3.261161017418e+01	2.350000000000e+03	7.369896750674e+02
3.263173198700e+01	1.650000000000e+03	7.369896877979e+02
3.265169501305e+01	1.600000000000e+03	7.369896976152e+02
3.267163038254e+01	2.550000000000e+03	7.369897073402e+02
3.269157767296e+01	2.050000000000e+03	7.369897169753e+02
3.271143507957e+01	2.100000000000e+03	7.369897267358e+02
3.273179197311e+01	1.700000000000e+03	7.369897373763e+02
3.275173830986e+01	1.500000000000e+03	7.369897491402e+02
3.277168440819e+01	1.700000000000e+03	7.369897590197e+02
3.279202413559e+01	2.100000000000e+03	7.369897687356e+02
3.281194782257e+01	2.050000000000e+03	7.369897778414e+02
3.283191275597e+01	1.000000000000e+03	7.369897880736e+02
3.285187244415e+01	2.000000000000e+03	7.369897980234e+02
3.287223005295e+01	1.750000000000e+03	7.369898074112e+02
3.289338421822e+01	1.950000000000e+03	7.369898177496e+02
3.291228795052e+01	1.650000000000e+03	7.369898274886e+02
3.293226695061e+01	2.050000000000e+03	7.369898387762e+02
3.295258331299e+01	1.850000000000e+03	7.369898399011e+02
3.297251486778e+01	1.550000000000e+03	7.369898399011e+02
3.299248719215e+01	2.300000000000e+03	7.369898518705e+02
3.301240730286e+01	1.900000000000e+03	7.369898624166e+02
3.303157639503e+01	1.850000000000e+03	7.369898720192e+02
3.305185866356e+01	2.350000000000e+03	7.369898817727e+02
3.307183456421e+01	1.450000000000e+03	7.369898908468e+02
3.309385156631e+01	1.750000000000e+03	7.369899006405e+02
3.311182594299e+01	1.000000000000e+03	7.369899104766e+02
3.313217616081e+01	1.800000000000e+03	7.369899209987e+02
3.315263509750e+01	2.150000000000e+03	7.369899310923e+02
3.317161130905e+01	1.500000000000e+03	7.369899406492e+02
3.319155263901e+01	1.750000000000e+03	7.369899504242e+02
3.321147727966e+01	1.850000000000e+03	7.369899598654e+02
3.323218965530e+01	1.850000000000e+03	7.369899705223e+02
3.325164198875e+01	1.900000000000e+03	7.369899798942e+02
3.327222585678e+01	1.700000000000e+03	7.369899875139e+02
3.329203319550e+01	1.900000000000e+03	7.369899951617e+02
3.331275558472e+01	2.050000000000e+03	7.369900050387e+02
3.333224916458e+01	1.700000000000e+03	7.369900145145e+02
3.335210633278e+01	2.000000000000e+03	7.369900243280e+02
3.337260484695e+01	2.150000000000e+03	7.369900416888e+02
3.339222669601e+01	1.600000000000e+03	7.369900542426e+02
3.341309094429e+01	1.200000000000e+03	7.369900542426e+02
3.343227887154e+01	2.150000000000e+03	7.369900622691e+02
3.345221877098e+01	1.750000000000e+03	7.369900724829e+02
3.347206139565e+01	1.300000000000e+03	7.369900821544e+02
3.349227929115e+01	1.800000000000e+03	7.369900924827e+02
3.351265048981e+01	2.050000000000e+03	7.369901039287e+02
3.353157305717e+01	2.350000000000e+03	7.369901155942e+02
3.355212879181e+01	1.650000000000e+03	7.369901240603e+02
3.357222056389e+01	2.150000000000e+03	7.369901325877e+02
3.359222459793e+01	1.700000000000e+03	7.369901416935e+02
3.361293244362e+01	1.700000000000e+03	7.369901514514e+02
3.363260149956e+01	2.000000000000e+03	7.369901610266e+02
3.365225553513e+01	1.650000000000e+03	7.369901716888e+02
3.367223572731e+01	2.500000000000e+03	7.369901819549e+02
3.369160676003e+01	1.200000000000e+03	7.369901915450e+02
3.371307826042e+01	2.150000000000e+03	7.369902010881e+02
3.373200583458e+01	1.600000000000e+03	7.369902114024e+02
3.375227117538e+01	2.000000000000e+03	7.369902245988e+02
3.377170586586e+01	1.800000000000e+03	7.369902337263e+02
3.379227471352e+01	1.750000000000e+03	7.369902439333e+02
3.381182622910e+01	1.650000000000e+03	7.369902539623e+02
3.383206558228e+01	1.900000000000e+03	7.369902645767e+02
3.385233831406e+01	1.800000000000e+03	7.369902742742e+02
3.387361764908e+01	1.350000000000e+03	7.369902835916e+02
3.389221024513e+01	1.900000000000e+03	7.369902849017e+02
3.391239523888e+01	2.350000000000e+03	7.369902898003e+02
3.393340277672e+01	1.950000000000e+03	7.369903001192e+02
3.395161914825e+01	1.200000000000e+03	7.369903177064e+02
3.397222042084e+01	2.400000000000e+03	7.369903315068e+02
3.399226927757e+01	1.450000000000e+03	7.369903315068e+02
3.401159191132e+01	1.350000000000e+03	7.369903432397e+02
3.403215765953e+01	1.850000000000e+03	7.369903580438e+02
3.405212426186e+01	1.500000000000e+03	7.369903691106e+02
3.407275724411e+01	1.400000000000e+03	7.369903782745e+02
3.409221887589e+01	1.700000000000e+03	7.369903892435e+02
3.411145853996e+01	1.050000000000e+03	7.369904005522e+02
3.413275194168e+01	8.500000000000e+02	7.369904119544e+02
3.415214800835e+01	1.950000000000e+03	7.369904119544e+02
3.417226743698e+01	1.000000000000e+03	7.369904193625e+02
3.419187021255e+01	1.350000000000e+03	7.369904277973e+02
3.421226143837e+01	7.000000000000e+02	7.369904424160e+02
3.423226952553e+01	1.000000000000e+03	7.369904528759e+02
3.425300717354e+01	9.500000000000e+02	7.369904627600e+02
3.427254939079e+01	8.000000000000e+02	7.369904715628e+02
3.429227328300e+01	1.100000000000e+03	7.369904790872e+02
3.431241083145e+01	1.050000000000e+03	7.369904858263e+02
3.433332061768e+01	7.500000000000e+02	7.369904957932e+02
3.435213017464e+01	1.150000000000e+03	7.369905084586e+02
3.437222075462e+01	1.150000000000e+03	7.369905177175e+02
3.439354705811e+01	6.500000000000e+02	7.369905290027e+02
